27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"352585 Jumirim";0,00;0,00;...;0,00;0,00;0,00
"352590 Jundiaí";0,00;0,00;0,00;0,02;0,00;0,02
"352600 Junqueirópolis";0,00;0,00;0,00;0,00;0,00;0,00
"352610 Juquiá";0,00;0,17;0,00;0,00;0,00;0,15
"352620 Juquitiba";0,00;0,00;0,00;0,00;0,00;0,00
"352630 Lagoinha";...;...;0,00;0,00;0,00;0,00
"352640 Laranjal Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"352650 Lavínia";...;0,00;0,00;0,00;0,00;0,00
"352660 Lavrinhas";0,00;0,00;...;0,00;...;0,00
"352670 Leme";0,00;0,00;3,33;0,00;0,00;0,02
"352680 Lençóis Paulista";...;0,00;0,00;0,21;0,00;0,18
"352690 Limeira";0,00;0,08;0,00;0,10;0,00;0,10
"352700 Lindóia";...;...;...;0,00;0,00;0,00
"352710 Lins";0,00;0,00;0,00;0,06;0,00;0,04
"352720 Lorena";0,00;0,00;0,00;0,05;0,00;0,04
"352725 Lourdes";0,00;0,00;0,00;0,00;0,00;0,00
"352730 Louveira";...;0,00;0,00;0,00;0,00;0,00
"352740 Lucélia";...;0,00;0,00;0,23;0,00;0,15
"352750 Lucianópolis";...;0,00;...;0,00;0,00;0,00
"352760 Luís Antônio";...;0,00;0,00;0,00;0,00;0,00
"352770 Luiziânia";0,00;0,00;0,00;0,00;0,00;0,00
"352780 Lupércio";...;0,00;...;2,56;...;2,50
"352790 Lutécia";...;0,00;...;0,00;0,00;0,00
"352800 Macatuba";...;0,00;0,00;0,00;0,00;0,00
"352810 Macaubal";...;0,00;0,00;0,00;0,00;0,00
"352820 Macedônia";...;0,00;0,00;0,00;0,00;0,00
"352830 Magda";0,00;0,00;0,00;0,00;0,00;0,00
"352840 Mairinque";...;0,00;0,00;0,00;0,00;0,00
"352850 Mairiporã";0,00;0,00;0,00;0,00;0,00;0,00
"352860 Manduri";...;0,00;...;0,00;0,00;0,00
"352870 Marabá Paulista";...;0,00;0,00;0,00;0,00;0,00
"352880 Maracaí";...;0,00;0,00;0,00;0,00;0,00
"352885 Marapoama";...;0,00;...;0,00;0,00;0,00
"352890 Mariápolis";...;0,00;0,00;0,00;0,00;0,00
"352900 Marília";0,00;0,00;0,06;0,14;0,00;0,13
"352910 Marinópolis";...;0,00;0,00;0,00;0,00;0,00
"352920 Martinópolis";0,00;0,00;0,00;0,00;0,30;0,18
"352930 Matão";0,00;0,00;0,52;0,00;0,09;0,07
"352940 Mauá";0,00;0,00;0,00;0,12;0,00;0,08
"352950 Mendonça";0,00;0,00;0,00;0,00;0,00;0,00
"352960 Meridiano";...;0,00;0,00;0,00;0,00;0,00
"352965 Mesópolis";...;0,00;0,00;0,00;0,00;0,00
"352970 Miguelópolis";0,00;0,00;0,00;0,00;0,00;0,00
"352980 Mineiros do Tietê";...;0,00;0,00;0,00;0,00;0,00
"353000 Mira Estrela";...;0,00;0,00;0,00;0,00;0,00
"352990 Miracatu";0,00;0,00;0,00;0,19;0,00;0,11
"353010 Mirandópolis";0,00;0,00;0,00;0,00;0,00;0,00
"353020 Mirante do Paranapanema";...;0,00;0,00;0,00;0,00;0,00
"353030 Mirassol";0,00;0,06;0,00;0,00;0,00;0,04
"353040 Mirassolândia";...;0,00;...;0,00;0,00;0,00
"353050 Mococa";0,00;0,00;0,00;0,12;0,00;0,09
"353060 Mogi das Cruzes";0,00;0,00;0,00;0,23;0,00;0,16
"353070 Mogi Guaçu";0,00;0,00;0,00;0,01;0,00;0,01
"353080 Moji Mirim";0,00;0,00;0,10;0,81;0,00;0,44
"353090 Mombuca";...;0,00;...;0,00;0,00;0,00
"353100 Monções";0,00;0,00;0,00;0,00;0,00;0,00
"353110 Mongaguá";0,00;0,00;0,00;0,00;0,00;0,00
"353120 Monte Alegre do Sul";...;0,00;0,00;0,00;0,00;0,00
"353130 Monte Alto";0,00;0,00;0,00;0,36;0,00;0,22
"353140 Monte Aprazível";0,00;0,00;0,00;0,17;0,00;0,09
"353150 Monte Azul Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"353160 Monte Castelo";...;0,00;0,00;0,00;0,00;0,00
"353180 Monte Mor";0,00;0,00;0,00;0,09;0,00;0,06
"353170 Monteiro Lobato";...;...;...;0,00;0,00;0,00
"353190 Morro Agudo";0,00;0,00;0,00;0,00;0,00;0,00
"353200 Morungaba";...;0,00;0,00;0,00;0,00;0,00
"353205 Motuca";...;0,00;0,00;0,00;0,00;0,00
"353210 Murutinga do Sul";0,00;0,00;0,00;0,00;0,00;0,00
"353215 Nantes";...;0,00;...;0,00;0,00;0,00
"353220 Narandiba";0,00;0,00;0,00;0,00;0,00;0,00
"353230 Natividade da Serra";...;...;0,00;0,00;0,00;0,00
"353240 Nazaré Paulista";...;0,00;0,00;0,00;0,00;0,00
"353250 Neves Paulista";...;0,00;0,00;0,00;0,00;0,00
"353260 Nhandeara";0,00;0,00;0,00;0,00;0,00;0,00
"353270 Nipoã";...;0,00;0,00;0,00;0,00;0,00
"353280 Nova Aliança";...;0,00;0,00;0,00;0,00;0,00
"353282 Nova Campina";...;0,00;0,00;0,00;...;0,00
"353284 Nova Canaã Paulista";...;0,00;...;0,00;...;0,00
"353286 Nova Castilho";...;...;0,00;...;0,00;0,00
"353290 Nova Europa";0,00;0,00;0,00;0,00;0,00;0,00
"353300 Nova Granada";0,00;0,00;0,00;0,00;0,00;0,00
"353310 Nova Guataporanga";0,00;0,00;...;0,00;...;0,00
"353320 Nova Independência";0,00;0,00;0,00;0,00;0,00;0,00
"353330 Nova Luzitânia";0,00;0,00;0,00;0,00;0,00;0,00
"353340 Nova Odessa";0,00;0,00;0,00;0,16;0,00;0,11
"353325 Novais";0,00;0,00;0,00;0,00;0,00;0,00
"353350 Novo Horizonte";0,00;0,00;0,00;0,00;0,00;0,00
"353360 Nuporanga";...;0,00;0,00;0,00;0,00;0,00
"353370 Ocauçu";...;0,00;0,00;0,00;...;0,00
"353380 Óleo";...;...;...;...;...;...
"353390 Olímpia";0,00;0,00;0,00;0,00;0,00;0,00
"353400 Onda Verde";0,00;0,00;...;0,40;0,00;0,39
"353410 Oriente";...;0,00;0,00;0,00;0,00;0,00
"353420 Orindiúva";0,00;0,00;0,00;0,00;0,00;0,00
"353430 Orlândia";0,00;0,00;0,00;0,00;0,00;0,00
"353440 Osasco";0,00;0,00;0,08;0,13;0,53;0,13
"353450 Oscar Bressane";...;0,00;0,00;0,00;0,00;0,00
"353460 Osvaldo Cruz";0,00;0,00;0,00;0,00;0,51;0,04
"353470 Ourinhos";0,00;0,00;0,00;0,02;0,00;0,02
"353480 Ouro Verde";0,00;0,00;0,00;0,00;0,00;0,00
"353475 Ouroeste";...;0,00;0,00;0,00;0,00;0,00
"353490 Pacaembu";0,00;0,00;0,00;0,00;0,00;0,00
"353500 Palestina";...;0,00;0,00;0,00;0,00;0,00
"353510 Palmares Paulista";0,00;0,00;0,00;0,66;0,00;0,52
"353520 Palmeira d'Oeste";0,00;0,00;0,00;0,00;0,00;0,00
"353530 Palmital";0,00;0,00;0,00;0,19;0,00;0,16
"353540 Panorama";...;0,00;0,00;0,00;0,00;0,00
"353550 Paraguaçu Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"353560 Paraibuna";...;0,00;0,00;0,00;0,00;0,00
"353570 Paraíso";0,00;0,00;0,00;0,00;0,00;0,00
